ADDRESS,PRICE,BEDS,BATHS,SQUARE FEET,AGE,YEAR BUILT,HOA/MONTH
1614 Beach Pkwy #105,300000,3,2,1877,30,1990,400
4015 Palm Tree Blvd #102,142000,2,2,1198,17,2003,146
4113 SE 19th Pl #105,185000,2,2,1296,43,1977,325
403 SE 43rd Ter #9,67000,1,1,848,52,1968,
3935 Country Club Blvd #18,177000,2,2,1110,39,1981,
1712 Beach Pkwy Unit A8,190000,2,2,1246,47,1973,
4009 Palm Tree Blvd #107,165000,2,2,1198,17,2003,146
1915 SE 40th Ter #103,188000,2,2,1186,45,1975,
3901 Del Prado Blvd S #204,155000,3,2,1199,47,1973,
403 SE 43rd Ter Unit A6,100000,2,2,1094,52,1968,
4213 Palm Tree Blvd #3,115000,2,2,1351,52,1968,497
1206 SE 40th St #201,205000,2,2,1055,38,1982,353
4321 Country Club Blvd #203,120000,2,2,1289,33,1987,
4026 SE 12th Ave #105,166000,2,2,1380,41,1979,
1766 Cape Coral Pkwy E #304,123000,1,1,768,55,1965,325
1766 Cape Coral Pkwy E #210,138000,2,2,1082,55,1965,
2634 Anguilla Dr,263000,2,2,1542,6,2014,421
1320 Pamplico Ct,274000,2,2,1542,5,2015,421
4924 Viceroy St Unit B4,177000,2,2,1387,41,1979,435
4936 Viceroy St #6,166200,2,2,1155,40,1980,
828 Victoria Dr Unit A11,120000,2,2,1288,45,1975,
2656 Anguilla Dr,251000,2,2,1542,7,2013,
5793 Cape Harbour Dr #819,379000,3,2,1737,13,2007,651
1805 Samantha Gayle Way #116,189900,2,2,1113,3,2017,195
5793 Cape Harbour Dr #1515,380000,2,2,1393,13,2007,
4914 Tudor Dr #202,142000,2,2,1382,38,1982,
4217 SE 19th Ave #109,146000,2,2,958,37,1983,
4218 SE 20th Pl Unit E1,165000,2,2,1296,43,1977,405
1926 SE 43rd St #221,168000,2,2,1004,48,1972,425
4260 SE 20th Pl #506,182000,2,2,1065,47,1973,364
1628 SE 46th St #7,195000,2,2,1398,39,1981,
4235 SE 20th Pl Unit B205,440000,3,3,1741,19,2001,
4229 SE 19th Pl Unit 2F,175000,2,2,1360,43,1977,
4704 SW Santa Barbara Pl #205,175000,2,2,1111,31,1989,425
403 SW 47th Ter #201,230000,2,2,1795,13,2007,
208 Cape Coral Pkwy E #107,160000,3,2,1433,39,1981,
103 SW 39th St #102,254000,3,2.5,2022,13,2007,
5793 Cape Harbour Dr #1312,362500,3,2,1737,13,2007,
5793 Cape Harbour Dr #1111,380000,3,2,1544,13,2007,
5406 Chiquita Blvd S #201,163000,2,2,1143,21,1999,
4010 SE 20th Pl #2,244000,2,2,1296,40,1980,399
4017 Palm Tree Blvd #308,165000,2,2,1223,15,2005,152
4017 Palm Tree Blvd #210,202000,2,2,1391,18,2002,347
4010 SE 20th Pl #6,225000,2,2,1296,40,1980,
4002 SE 20th Pl Unit F4,180000,2,2,1272,40,1980,378
4005 SE 19th Pl #2,230000,2,2,1226,40,1980,508
4017 Palm Tree Blvd #204,155000,2,2,1198,18,2002,146
2611 Somerville Loop #207,203000,2,2,1373,15,2005,197
3804 Agualinda Blvd #303,210000,2,2,1518,14,2006,420
4029 SE 20th Pl #402,385000,3,2,1865,13,2007,
3906 SE 11th Pl #606,90000,2,2,1090,40,1980,
1908 SE 43rd St #207,175000,2,2,1004,48,1972,425
4235 SE 20th Pl Unit B305,440000,3,3,1741,19,2001,
1206 SE 40th St #104,165000,2,2,930,38,1982,390
4115 SE 18th Pl #202,195000,2,2,1299,43,1977,475
4012 Coronado Pkwy #207,99000,3,2,1991,48,1972,
1407 SW 16th Ter #202,94000,2,2,1186,37,1983,250
1313 SW 16th Ter #103,108500,2,2,1159,38,1982,370
511 SE 43rd St #204,163000,2,2,1269,37,1983,433
4500 SE 5th Pl #103,162000,2,2,1022,32,1988,
1797 Four Mile Cove Pkwy #1021,225000,3,2,1395,16,2004,350
3602 Skyline Blvd #105,100000,2,2,1423,15,2005,
640 SE 12th Ct #14,103000,2,2,982,39,1981,270
608 SE 6th St Unit H,57000,2,1,821,39,1981,318
5115 Sunnybrook Ct #16,340000,2,2,1514,40,1980,
5781 Cape Harbour Dr #501,369500,3,2,1544,14,2006,523
5704 Cape Harbour Dr #507,700001,3,2,2054,16,2004,
5781 Cape Harbour Dr #609,340000,3,2,1737,14,2006,
5781 Cape Harbour Dr #1401,425000,3,2,1544,14,2006,
4803 Sunset Ct #706,164500,2,2,1192,52,1968,552
4616 SE 5th Pl #107,179500,2,2,976,31,1989,340
