Address,Price,Beds,Baths,Sqft
"1856 N Sawyer Ave APT 201, Chicago, IL 60647Sold",286000,2,2,"1,100"
"2730 W Armitage Ave # 4W, Chicago, IL 60647Sold",580000,3,2,"1,750"
"1935 N Fairfield Ave APT 210, Chicago, IL 60647Sold",352000,2,2,"1,200"
"1722 N Mozart St, Chicago, IL 60647Sold",725000,4,4,"3,000"
"1935 N Fairfield Ave APT 401, Chicago, IL 60647Sold",366000,2,2,"1,223"
"1811 N Rockwell St # K, Chicago, IL 60647Sold",520000,3,3,"2,250"
"1812 N Rockwell St UNIT C, Chicago, IL 60647Sold",487000,3,3,"2,200"
"1623 N Washtenaw Ave # 2, Chicago, IL 60647Sold",390000,2,2,"1,200"
"1645 N Maplewood Ave # 3, Chicago, IL 60647Sold",419000,3,2,"1,131"
"1730 N Richmond St, Chicago, IL 60647Sold",690000,4,4,"3,000"
"1806 N Mozart St, Chicago, IL 60647Sold",910000,6,2,"3,370"
"2600 W North Ave APT 2F, Chicago, IL 60647Sold",377500,2,2,"1,130"
"2023 N California Ave # 2, Chicago, IL 60647Sold",230000,1,1,800
"1842 N Kedzie Ave # 3, Chicago, IL 60647Sold",480000,3,1.5,"1,575"
"1842 N Kedzie Ave APT 2, Chicago, IL 60647Sold",480000,3,3,"1,700"
"2730 W Armitage Ave # 1E, Chicago, IL 60647Sold",690000,4,3,"3,000"
"1812 N Sawyer Ave # 1R, Chicago, IL 60647Sold",432000,3,3,"1,900"
"2065 N Kedzie Ave APT 103, Chicago, IL 60647Sold",380000,2,2,"1,400"
"1854 N Talman Ave, Chicago, IL 60647Sold",735000,6,3,"3,000"
"1848 N California Ave, Chicago, IL 60647Sold",695000,5,1,"1,760"
"1848 N California Ave # 2, Chicago, IL 60647Sold",694900,3,3,"2,400"
"1753 N Troy St, Chicago, IL 60647Sold",817500,5,4,"3,600"
"3036 W North Ave, Chicago, IL 60647Sold",195000,1,1,900
