Rk,School,G,Pts,Cmp,pAtt,Pct,pYds,pTD,rAtt,rYds,rAvg,rTD,Plays,totYds,totAvg,fdPass,fdRush,fdPen,fdTot,pen,penYds,Fum,Int,TO
99,South Florida,6,24.3,14.7,27.2,54,168.2,0.8,35.5,181,5.1,2.2,62.7,349.2,5.6,7.7,9.2,0.8,17.7,4.8,36.3,0.5,1,1.5
100,Texas State,6,24.2,23.2,37,62.6,248,2.2,33.8,97.5,2.9,0.5,70.8,345.5,4.9,10.2,7,1.8,19,6.3,56,1,1.2,2.2
101,Fresno State,5,23.6,23.2,33.4,69.5,257,0.8,31,119.8,3.9,1.8,64.4,376.8,5.9,12,7.6,2.2,21.8,5.2,45.8,0.4,1,1.4
102,Wyoming,7,23.3,13.4,24.7,54.3,147.1,1.3,36.3,150.1,4.1,0.7,61,297.3,4.9,6.9,7.3,1.4,15.6,4.1,37.1,0.4,0.4,0.9
103,Iowa State,6,23.2,26.2,38.8,67.4,257.7,1.8,31.7,106.3,3.4,0.8,70.5,364,5.2,12.2,6.2,1.5,19.8,5.7,49.3,0.5,1,1.5
104,Rutgers,6,22.8,15,27.3,54.9,173.2,1,39.2,160.8,4.1,1.5,66.5,334,5,7.3,9.7,1,18,8.2,69.2,0.3,1.3,1.7
105,Nevada,6,22.7,16.3,29.3,55.7,163.3,0.3,38.5,130,3.4,2.3,67.8,293.3,4.3,7.7,7.7,1.7,17,5.8,54.2,0.5,0.3,0.8
106,Western Michigan,6,22.7,14.8,29,51.1,180.7,1.2,36.7,120.5,3.3,1.3,65.7,301.2,4.6,8.7,6.3,2.2,17.2,8.7,80,0.7,1,1.7
107,UTEP,7,22.1,18.1,35.4,51.2,235.6,1.1,35.7,132.7,3.7,0.9,71.1,368.3,5.2,10.9,8,2,20.9,6.1,61,1.1,1.1,2.3
108,Old Dominion,5,21.6,20.2,35.8,56.4,250.2,1.8,27.8,71.4,2.6,0.6,63.6,321.6,5.1,10.2,3.8,1.6,15.6,8.2,74.6,1.2,0.4,1.6
109,Texas A&M,6,21.5,17.8,30.3,58.8,213.3,1.3,28.7,119.7,4.2,1,59,333,5.6,8.7,6.7,2.8,18.2,6.3,53,0.7,0.8,1.5
110,Navy,5,21.2,5.6,12.6,44.4,110,0.6,58.4,231.8,4,1.8,71,341.8,4.8,3.4,13.4,1.8,18.6,3.4,32.6,1.2,0.4,1.6
111,Miami (OH),6,20.8,12.8,23,55.8,141.2,1,40.3,181,4.5,1.3,63.3,322.2,5.1,6.3,8,2,16.3,7,57,0.7,0.7,1.3
112,Auburn,6,20.3,15.7,30,52.2,218.8,0.8,36,148.3,4.1,1.7,66,367.2,5.6,9.2,8.3,0.5,18,6.8,55.3,0.8,1.3,2.2
113,Louisiana-Monroe,6,20.3,17,25.2,67.5,187.3,1,39.2,143.5,3.7,1.8,64.3,330.8,5.1,7.2,8.2,1.8,17.2,5.5,51.3,0.7,0.5,1.2
114,Utah State,6,20.3,18.2,31.7,57.4,203.8,1.7,40.8,160.5,3.9,0.7,72.5,364.3,5,9,9.2,2.3,20.5,9.2,82.8,0.7,2,2.7
115,Boston College,6,20,20.5,34,60.3,236.3,1.8,31.2,68,2.2,0.7,65.2,304.3,4.7,9.5,5.3,1.7,16.5,5.2,36.2,1,1,2
116,Virginia Tech,6,20,21,36,58.3,220.5,1,34.7,112.2,3.2,1.2,70.7,332.7,4.7,10.7,5.8,2,18.5,8.5,69.8,0.3,1.2,1.5
117,New Mexico,6,19.3,10.8,19.8,54.6,119.2,0.5,39.7,141.3,3.6,1.7,59.5,260.5,4.4,4.5,8.8,1.8,15.2,6.7,60.2,0.3,1.2,1.5
118,San Diego State,6,18.5,11.3,23.2,48.9,108.3,0.7,37.2,176.3,4.7,0.8,60.3,284.7,4.7,5.5,7.5,1,14,8,59.5,0.7,0.7,1.3
119,Akron,6,18.3,27.7,43,64.3,273.5,1,30,75.2,2.5,1.2,73,348.7,4.8,14.5,5.7,1.8,22,7,64.5,1.3,0.5,1.8
120,Virginia,6,17.8,19.3,35.5,54.5,227.2,0.8,32.5,129.7,4,1.3,68,356.8,5.2,9.7,7.5,3,20.2,7.5,71.3,1.3,1.2,2.5
121,Connecticut,7,17.7,11.6,20.9,55.5,99.4,0.9,40.9,185.9,4.5,1.3,61.7,285.3,4.6,5.1,9.7,1.1,16,5,41.4,1.1,0.4,1.6
122,Northwestern,6,17.7,25.5,43.8,58.2,282,1.2,35.2,112.3,3.2,1.2,79,394.3,5,12.7,6.3,1.8,20.8,4.7,42.2,1.7,1,2.7
123,Georgia Tech,6,17.3,17.5,30,58.3,178.8,0.8,35,150.8,4.3,1,65,329.7,5.1,8.3,7.8,1.2,17.3,6.3,58.8,0.3,0.3,0.7
124,Hawaii,6,16.8,20.5,38.3,53.5,196.5,0.3,29.8,121.5,4.1,1.5,68.2,318,4.7,9,7.5,1.2,17.7,6.2,52.7,0.8,1,1.8
125,Florida International,5,16.6,25.2,41.2,61.2,224.6,1.6,29.8,101,3.4,0.4,71,325.6,4.6,11.4,5.2,1.8,18.4,6.4,59.4,0.6,1,1.6
126,Temple,5,15,16.4,30,54.7,199,1,31,83.8,2.7,0.8,61,282.8,4.6,8,4.4,1.2,13.6,4.8,43.8,1.4,1.2,2.6
127,Iowa,6,14.7,14.5,27,53.7,156.5,0.3,31.3,82.2,2.6,0.8,58.3,238.7,4.1,6.5,5.3,1.5,13.3,5,40.2,0.5,0.5,1
128,New Mexico State,6,14,10.2,23.8,42.7,121,0.3,33,144.5,4.4,1.5,56.8,265.5,4.7,5.8,6.5,2,14.3,6.5,55.3,0.5,1.7,2.2
129,Colorado,5,13.4,16.2,31.6,51.3,164,0.8,32,113,3.5,0.8,63.6,277,4.4,6.4,8.4,1.4,16.2,4.4,35,1.4,0.4,1.8
130,Massachusetts,6,12.8,8,17.5,45.7,70.8,0.2,48.7,176,3.6,0.8,66.2,246.8,3.7,3.7,9,1,13.7,9.2,77.7,0.2,1.3,1.5
131,Colorado State,5,12,17,25.8,65.9,172.2,1.2,33.2,72.2,2.2,0,59,244.4,4.1,7.4,4.8,1.2,13.4,7,61.6,1.2,1.2,2.4
