home_team,home_model_points,away_team,away_model_points,vegas_spread,vegas_over_under,model_over_under,model_spread,spread_difference,abs_difference,OU_Prediction,Model_Pick,Model_SU_Pick,actual_home,actual_away,actual_winner,spread_winner,OU_winner,home_residual,away_residual,abs_home_residual,abs_away_residual,spread_result,OU_result,SU_result,Week
Ohio,17.17129884,Central Michigan,23.99300727,6,56.5,41.16430611,6.82170843,0.82170843,0.82170843,Under,Central Michigan,Central Michigan,27,30,Central Michigan,Ohio,Over,9.828701158,6.006992728,9.828701158,6.006992728,Loss,Loss,Win,6
Cincinnati,40.86703494,Temple,11.30264129,-29,54,52.16967624,-29.56439365,-0.56439365,0.56439365,Under,Cincinnati,Cincinnati,52,3,Cincinnati,Cincinnati,Over,11.13296506,-8.302641294,11.13296506,8.302641294,Win,Loss,Win,6
Brigham Young,27.13738293,Boise State,22.1805503,-5.5,56.5,49.31793323,-4.956832637,0.543167363,0.543167363,Under,Boise State,Brigham Young,17,26,Boise State,Boise State,Under,-10.13738293,3.819449703,10.13738293,3.819449703,Win,Win,Loss,6
Virginia Tech,23.50238342,Notre Dame,24.95444552,1,47,48.45682894,1.452062104,0.452062104,0.452062104,Over,Notre Dame,Notre Dame,29,32,Notre Dame,Notre Dame,Over,5.497616583,7.045554479,5.497616583,7.045554479,Win,Win,Win,6
Texas A&M,18.41728908,Alabama,36.02979106,18,51.5,54.44708014,17.61250198,-0.387498015,0.387498015,Over,Texas A&M,Alabama,41,38,Texas A&M,Texas A&M,Over,22.58271092,1.97020894,22.58271092,1.97020894,Win,Win,Loss,6
Duke,23.4417206,Georgia Tech,27.31887082,3.5,61,50.76059141,3.87715022,0.37715022,0.37715022,Under,Georgia Tech,Georgia Tech,27,31,Georgia Tech,Georgia Tech,Under,3.558279405,3.681129185,3.558279405,3.681129185,Win,Win,Win,6
Arizona State,32.87998249,Stanford,20.61419213,-12,51,53.49417461,-12.26579036,-0.265790362,0.265790362,Over,Arizona State,Arizona State,28,10,Arizona State,Arizona State,Under,-4.879982488,-10.61419213,4.879982488,10.61419213,Win,Loss,Win,6
Western Kentucky,29.35225653,UTSA,25.98873917,-3.5,69.5,55.3409957,-3.363517366,0.136482634,0.136482634,Under,UTSA,Western Kentucky,46,52,UTSA,UTSA,Over,16.64774347,26.01126083,16.64774347,26.01126083,Win,Loss,Loss,6
Arizona,20.65607247,UCLA,36.70077703,16,61,57.3568495,16.04470455,0.044704554,0.044704554,Under,UCLA,UCLA,16,34,UCLA,UCLA,Under,-4.656072472,-2.700777027,4.656072472,2.700777027,Win,Win,Win,6
Tennessee,29.96008576,South Carolina,19.44382644,-10.5,57,49.4039122,-10.51625932,-0.016259325,0.016259325,Under,Tennessee,Tennessee,45,20,Tennessee,Tennessee,Over,15.03991424,0.55617356,15.03991424,0.55617356,Win,Loss,Win,6
Buffalo,33.52799635,Ohio,14.71782846,-9,56.5,48.24582481,-18.81016789,-9.810167889,9.810167889,Under,Buffalo,Buffalo,27,26,Buffalo,Ohio,Under,-6.527996351,11.28217154,6.527996351,11.28217154,Loss,Win,Win,7
Wisconsin,24.46797338,Army,20.40454889,-13,40,44.87252227,-4.063424498,8.936575502,8.936575502,Over,Army,Wisconsin,20,14,Wisconsin,Army,Under,-4.467973384,-6.404548886,4.467973384,6.404548886,Win,Loss,Win,7
Arkansas,26.20548241,Auburn,31.21185608,-3.5,53.5,57.41733849,5.006373665,8.506373665,8.506373665,Over,Auburn,Auburn,23,38,Auburn,Auburn,Over,-3.205482415,6.788143921,3.205482415,6.788143921,Win,Win,Win,7
South Florida,24.23416538,Tulsa,24.51321921,8.5,57,48.74738459,0.279053827,-8.220946173,8.220946173,Under,South Florida,Tulsa,31,32,Tulsa,South Florida,Over,6.765834619,7.486780792,6.765834619,7.486780792,Win,Loss,Win,7
Louisiana-Monroe,11.9694799,Liberty,36.42965197,32.5,56.5,48.39913186,24.46017207,-8.03982793,8.03982793,Under,Louisiana-Monroe,Liberty,31,28,Louisiana-Monroe,Louisiana-Monroe,Over,19.0305201,-8.429651966,19.0305201,8.429651966,Win,Loss,Loss,7
Texas,36.80679859,Oklahoma State,24.76657114,-5.5,61,61.57336973,-12.04022745,-6.540227449,6.540227449,Over,Texas,Texas,24,32,Oklahoma State,Oklahoma State,Under,-12.80679859,7.233428859,12.80679859,7.233428859,Loss,Loss,Loss,7
South Carolina,33.64059431,Vanderbilt,8.973702246,-18.5,51,42.61429656,-24.66689207,-6.166892067,6.166892067,Under,South Carolina,South Carolina,21,20,South Carolina,Vanderbilt,Under,-12.64059431,11.02629775,12.64059431,11.02629775,Loss,Win,Win,7
Eastern Michigan,26.82379659,Ball State,23.18163086,2.5,55.5,50.00542746,-3.642165731,-6.142165731,6.142165731,Under,Eastern Michigan,Eastern Michigan,31,38,Ball State,Ball State,Over,4.176203406,14.81836914,4.176203406,14.81836914,Loss,Loss,Loss,7
